well,episodes,episode_rows,suffix_rows,episode_sse,suffix_rmse_ft,suffix_max_abs_error_ft,last_known_tvt,last_known_md,shard_index
aaeffccb,1,153,2712,23950.73823928833,4.0053807799372985,14.65625,12212.01,13217.0,0
ab112491,1,4331,5185,4460102.492999077,29.35859490975591,52.1787109375,12276.5,13128.0,1
ab18d3fc,2,4090,5694,1760087.570186615,17.680209515385616,29.8056640625,12282.02,13218.0,1
ab3ced07,1,330,4250,55381.29815196991,5.264889215179966,15.197265625,12222.14,13378.0,2
ab6fe95d,1,235,5491,94049.06796169281,6.599142745281191,25.013671875,10065.52,11267.0,2
abf460d2,1,1771,3217,919631.9333429337,17.25237383114583,32.4892578125,12086.87,13136.0,3
ac6f01d5,1,3568,5004,1050297.6363039017,14.736119524734896,23.3115234375,12523.62,13361.0,2
ad2133a8,2,806,5729,193668.2722043991,6.508465481064542,18.08984375,12070.21,13247.0,2
ae069086,1,1388,4770,274599.64091205597,8.552386693577198,16.521484375,11205.75,12215.0,3
ae35f33a,2,396,4450,67266.65849399567,5.39202352690207,16.8603515625,12679.47,13759.0,0
ae8959c3,1,139,4518,14561.488718032837,8.037272486074357,10.9697265625,10869.47,11959.0,1
aed44918,1,2114,2719,1068824.0703659058,19.983628807637945,28.6650390625,12770.94,13568.0,1
aee6393a,2,4147,5865,981136.8920211792,13.479641078944812,23.4560546875,11003.59,12010.0,3
aff4e561,1,752,6026,163925.01919174194,6.025014449597794,16.833984375,10940.68,11936.0,1
b04b58a3,1,2681,3402,1126332.5649576187,18.267873774209995,31.08984375,10750.64,11959.0,0
b0d42b0d,2,3325,4971,1548114.5251979828,18.088079404977446,31.26953125,11065.59,12143.0,3
b0f53bf4,1,845,2755,185290.01746082306,9.371090141033521,16.7568359375,12216.87,13109.0,1
b19b0395,1,924,5813,233474.53032970428,7.655134206421991,19.2216796875,11199.23,12080.0,0
b1efb8a4,2,1387,5998,240862.06136894226,7.321675100976613,15.78515625,12015.57,13220.0,2
b32902c0,1,2954,3808,1097398.9376182556,17.1994268722173,39.0693359375,10919.4,12248.0,0
