well,suffix_rows,posterior_mean_rmse_ft,persistent_episodes,persistent_rows,persistent_row_fraction,has_persistent_episode,top1_joint_path_log_probability,top5_joint_path_log_mass,top1_joint_path_log10_probability,top5_joint_path_log10_mass,top1_surprisal_nats_per_row,top5_surprisal_nats_per_row,top5_vs_top1_log_mass_gain
c07fd0cd,4191,16.78835600701667,1,2729,0.6511572417084228,True,-885.5935044833828,-883.9840909845642,-384.60837220649586,-383.9094128048583,0.2113084000198957,0.2109243834370232,1.6094134988186397
c1708b88,6315,21.892556285052127,1,4195,0.6642913697545526,True,-1400.8050116799045,-1399.1955737674705,-608.3618867950026,-607.6629167906667,0.22182185458114087,0.22156699505423127,1.6094379124340321
c1d046f4,5513,18.032715675074595,1,1526,0.27680029022310904,True,-1448.336037864524,-1446.7295279226043,-629.0043491861819,-628.3066507832835,0.26271286737974314,0.26242146343598843,1.6065099419197395
c2717d4f,4721,8.272670632224715,2,1316,0.27875450116500744,True,-1016.313715199672,-1014.7045702392983,-441.3794383938105,-440.6805956169378,0.21527509324288752,0.21493424491406446,1.6091449603736692
c2c4db09,6039,5.7749531132375465,1,533,0.08825964563669482,True,-1315.6467133047602,-1314.0439099929736,-571.3781077224069,-570.6820190885217,0.2178583727942971,0.21759296406573497,1.6028033117866016
c2c6fc71,7119,4.007948543729422,0,0,0.0,False,-1524.828904419364,-1523.2214428141442,-662.2247790359107,-661.5266673308925,0.214191446048513,0.2139656472558146,1.6074616052198962
c36625df,4742,2.7539633528767116,0,0,0.0,False,-1002.3984583066032,-1000.7909483140959,-435.33611911088457,-434.6379863915343,0.21138727505411287,0.2110482809603745,1.607509992507289
c3957531,5316,9.274080832663381,1,947,0.17814145974416853,True,-1305.120820183132,-1303.511382270698,-566.8067704225804,-566.1078004182444,0.2455080549629669,0.24520530140532318,1.6094379124340321
c42fe306,5095,8.974840249903455,1,981,0.19254170755642788,True,-1088.2481744354336,-1086.6860442117613,-472.62017709859623,-471.941752562441,0.21359139831902524,0.21328479768631234,1.562130223672284
c43812e2,5527,3.7597304618168197,0,0,0.0,False,-1177.9122753394051,-1176.3166405308223,-511.5608013460074,-510.8678259535071,0.21311964453399768,0.21283094635983757,1.5956348085828722
c472c0b5,3054,1.9206762701520217,0,0,0.0,False,-653.3602682387858,-651.7554154510532,-283.7507591909331,-283.0537804809538,0.21393590970490695,0.21341041763295782,1.604852787732625
