episode_id,well,decoder_rows,posterior_mean_error_recomputed_ft,marginal_map_mean_error_ft,viterbi_mean_error_ft
ecdab904:000,ecdab904,5684,-18.297014602392824,-18.28453905690152,-23.283061224394196
2bff06cf:001,2bff06cf,3298,-18.907794875682395,-18.721925409222973,-31.96185870214002
77b0d905:000,77b0d905,4030,-18.95860223325079,-18.989456575585386,-12.315746898158928
3a824aa7:000,3a824aa7,2084,-18.750448896353298,-23.9714539346603,-2.675364683197526
8cc21f01:001,8cc21f01,900,18.418625555555398,19.380355555677564,0.6382444445476196
f8662c22:001,f8662c22,1981,-18.523861181221736,-19.440893488034835,-19.684533064007066
fb73b13a:000,fb73b13a,1039,-18.695495187680592,-18.57766121260438,-10.07896053887114
1fee2b62:000,1fee2b62,2532,-18.79855015797804,-19.48015797779104,-6.62456951016379
1d78281a:000,1d78281a,2175,-18.325086896551845,-18.356786206793352,-13.80485517230605
eafb863e:000,eafb863e,263,-18.21137072243355,-19.45596958163719,-28.01699619761552
75c20ec7:002,75c20ec7,1769,-18.338978801582982,-19.605031090916384,-11.672752967674862
48c1f673:000,48c1f673,2200,-18.591994772727446,-18.9755954544392,-21.825390908987067
684a6fc1:001,684a6fc1,844,18.416270142179926,15.173684834249341,-2.248767772402889
e0f36d98:000,e0f36d98,2938,17.891576923076784,18.76375765840159,-9.34500680725205
d7eb0be8:000,d7eb0be8,1998,-18.217056056056173,-17.80058058044739,-44.15551051040636
d1ee630d:000,d1ee630d,2080,18.333957451922938,15.68525480782251,-8.269384615279204
4ed93db6:000,4ed93db6,3574,-18.0750649132626,-17.56561275873749,9.551063234574995
a85e4bc3:000,a85e4bc3,963,-18.000890965732207,-18.749657320787183,2.7591692628278772
1fdbba44:002,1fdbba44,2321,-17.931507324429287,-0.9236148210882162,-0.21094786718821257
9d4272e3:001,9d4272e3,2307,-17.357372778500352,-20.107936714245398,-19.287325530889223
55efee7f:000,55efee7f,1551,17.868052869116532,18.687672469456903,35.58177304974558
d217e0c5:000,d217e0c5,2925,17.670047179487014,17.835941880460844,5.240728205234281
67a8da4a:000,67a8da4a,952,-17.278866596638807,-17.931060924273986,-11.784002100738604
57f05c51:001,57f05c51,765,-17.55042352941194,-18.19871895410039,-18.147934640374846
1a68190b:000,1a68190b,2155,-17.358773549884102,-17.299670533534645,-23.955030162312045
521a7819:000,521a7819,828,-17.635663647343176,-17.576449275299176,20.486896135368784
5aa403d0:000,5aa403d0,2232,-17.287689292114827,-16.0759229389519,-24.82090501781348
8478df29:001,8478df29,1084,-17.16835009225104,-18.09681734310232,11.784271217816379
46d41ff6:000,46d41ff6,871,17.614959816302985,17.56000000013104,-8.437244546394165
7987f2f2:000,7987f2f2,888,17.22178322072062,17.042511261359582,20.598479729831908
c6797dd7:000,c6797dd7,2272,17.56912345950692,27.382579225482118,5.024634683206282
861e71df:000,861e71df,2290,17.576776200873173,16.97070305687329,16.808847161675985
9dede370:001,9dede370,1004,-17.388709163346775,-17.60793824689491,-30.947679282764934
633774dc:000,633774dc,258,-17.31093992248081,-23.791007751831643,-26.544883720826544
cbe62450:001,cbe62450,3015,-17.141709452736475,-17.20492868977908,-23.22086567154218
57f05c51:002,57f05c51,317,16.973077287066126,21.233596214665344,14.33406940077812
4a8ecc0b:000,4a8ecc0b,2114,-17.36048320719031,-17.351669820154168,-16.386106906246464
75c20ec7:001,75c20ec7,1500,-17.325899000000177,-18.091213333235306,-12.187646666563047
9283ae69:000,9283ae69,1829,-17.37581738655016,-17.46999999990654,-8.279294696452132
49dbc14c:000,49dbc14c,3439,17.388013375981274,16.66632160523392,4.891706891642264
65a5466a:000,65a5466a,1593,-16.90761487758962,-20.548644067695516,-21.157463904482842
6767c111:000,6767c111,451,-17.09438470066536,-16.701640798102588,-39.928913525399274
9dede370:003,9dede370,872,-16.51097419724787,-16.424839449433428,-20.96761467879548
a692b17e:000,a692b17e,903,-16.859876522702198,-15.40624584706829,-18.80779623466876
cbe51de1:000,cbe51de1,999,-17.07529679679692,-17.092782782670135,-29.784574574475297
1b82b665:000,1b82b665,2028,-16.94539891518753,-19.972667652773104,-3.555803747430629
